frame,object_id,label,confidence,x1,y1,x2,y2,depth_m
0000000000,0,pedestrian,0.918,551,152,624,314,7.976
0000000000,1,pedestrian,0.867,932,147,985,287,9.223
0000000000,2,car,0.681,1069,150,1220,186,34.930
0000000000,3,pedestrian,0.432,123,178,176,263,10.181
0000000000,4,car,0.430,446,170,483,194,43.413
0000000001,0,pedestrian,0.895,935,147,1017,288,9.237
0000000001,1,pedestrian,0.883,567,148,631,319,4.771
0000000001,2,car,0.566,1060,149,1223,187,36.836
0000000001,3,car,0.378,446,169,484,194,43.413
0000000001,4,pedestrian,0.374,121,179,173,268,10.079
0000000002,0,pedestrian,0.771,129,179,180,268,10.063
0000000002,1,pedestrian,0.665,565,151,623,320,7.485
0000000002,2,pedestrian,0.608,960,149,1044,287,9.223
0000000002,3,car,0.448,1058,149,1187,188,35.132
0000000002,4,car,0.403,446,169,483,193,43.105
0000000003,0,pedestrian,0.952,975,150,1037,285,9.112
0000000003,1,pedestrian,0.494,138,178,186,269,10.164
0000000003,2,car,0.488,1037,154,1153,195,32.158
0000000004,0,pedestrian,0.865,989,143,1048,290,9.085
0000000004,1,car,0.586,448,174,485,199,43.726
0000000004,2,pedestrian,0.416,152,172,200,275,10.147
0000000005,0,pedestrian,0.614,1003,150,1075,288,9.099
0000000005,1,pedestrian,0.523,173,173,211,274,11.988
0000000005,2,car,0.466,449,174,484,200,43.105
0000000005,3,cyclist,0.299,854,197,920,272,11.577
0000000006,0,pedestrian,0.942,1007,147,1091,286,9.085
0000000006,1,pedestrian,0.717,179,175,216,274,11.988
0000000006,2,car,0.605,448,174,485,199,43.413
0000000006,3,cyclist,0.594,867,194,944,272,11.599
0000000006,4,pedestrian,0.273,978,164,1014,216,19.606
0000000007,0,pedestrian,0.852,1014,146,1096,285,9.223
0000000007,1,pedestrian,0.764,179,177,222,270,11.871
0000000007,2,pedestrian,0.633,869,169,934,242,11.533
0000000007,3,cyclist,0.551,868,204,956,267,11.555
0000000007,4,car,0.538,449,174,485,200,43.413
0000000008,0,pedestrian,0.795,188,174,234,274,11.848
0000000008,1,pedestrian,0.640,1041,138,1100,279,8.964
