frame,object_id,label,confidence,x1,y1,x2,y2,depth_m
000000,0,pedestrian,0.633,397,152,489,345,6.133
000000,1,pedestrian,0.367,533,138,562,191,27.378
000000,2,cyclist,0.356,241,193,402,294,8.695
000001,0,pedestrian,0.749,415,148,497,351,6.090
000001,1,cyclist,0.459,248,220,412,297,8.658
000001,2,pedestrian,0.327,502,155,550,339,6.907
000001,3,cyclist,0.251,261,174,345,296,9.058
000002,0,pedestrian,0.708,504,144,568,328,6.891
000002,1,cyclist,0.483,266,196,431,299,8.745
000002,2,pedestrian,0.449,420,159,499,339,5.994
000002,3,cyclist,0.363,260,174,343,296,9.031
000003,0,cyclist,0.681,249,186,448,295,8.847
000003,1,pedestrian,0.548,516,145,578,352,6.761
000003,2,pedestrian,0.266,451,153,525,346,5.953
000004,0,cyclist,0.617,259,200,460,295,8.834
000004,1,pedestrian,0.432,449,156,530,341,5.901
000004,2,pedestrian,0.410,514,149,589,346,6.686
000005,0,cyclist,0.618,257,199,466,294,8.873
000005,1,pedestrian,0.374,451,162,544,336,5.855
000006,0,cyclist,0.782,251,188,452,295,8.978
000006,1,pedestrian,0.663,548,149,613,346,6.556
000006,2,cyclist,0.353,408,195,483,275,9.709
000007,0,cyclist,0.662,256,184,471,292,9.167
000007,1,pedestrian,0.607,563,144,625,352,6.542
000007,2,pedestrian,0.446,497,148,575,354,5.756
000007,3,cyclist,0.321,403,193,483,274,10.570
000008,0,cyclist,0.644,258,184,478,292,9.188
000008,1,pedestrian,0.484,561,142,630,352,6.438
000008,2,pedestrian,0.355,511,139,573,332,5.670
000008,3,cyclist,0.273,396,193,480,273,10.552
000009,0,cyclist,0.698,288,190,480,284,9.512
000009,1,pedestrian,0.480,501,140,521,208,38.713
000009,2,pedestrian,0.359,531,132,644,366,6.227
000009,3,cyclist,0.278,264,174,341,296,8.964
000010,0,pedestrian,0.666,532,141,675,359,6.164
000010,1,cyclist,0.660,294,188,482,283,9.512
000010,2,pedestrian,0.500,501,145,522,202,20.958
000010,3,cyclist,0.329,265,172,342,297,8.213
000010,4,cyclist,0.285,398,194,479,273,10.552
000011,0,pedestrian,0.918,532,153,680,368,5.965
000011,1,cyclist,0.643,294,185,481,286,9.452
000011,2,pedestrian,0.379,525,137,555,192,25.115
000012,0,pedestrian,0.631,557,150,679,371,5.889
000012,1,cyclist,0.583,304,184,479,287,9.497
000012,2,pedestrian,0.369,530,137,561,194,24.023
000012,3,cyclist,0.284,237,130,307,340,7.288
000012,4,pedestrian,0.250,498,144,521,201,20.958
000013,0,pedestrian,0.722,585,143,696,373,5.930
000013,1,cyclist,0.669,311,184,476,290,9.452
000013,2,pedestrian,0.290,533,128,568,197,32.329
000013,3,pedestrian,0.261,236,129,306,338,6.883
000014,0,cyclist,0.625,333,177,476,287,9.725
000014,1,pedestrian,0.485,592,133,669,366,5.422
000014,2,pedestrian,0.366,525,137,555,196,23.742
000014,3,pedestrian,0.315,643,149,718,351,5.941
000015,0,cyclist,0.575,336,172,475,290,9.678
000015,1,pedestrian,0.376,520,136,545,197,23.558
000015,2,pedestrian,0.368,589,139,671,358,5.317
000015,3,pedestrian,0.275,645,144,720,377,5.777
000016,0,pedestrian,0.706,605,146,733,375,5.622
000016,1,pedestrian,0.415,516,133,537,200,21.784
000016,2,pedestrian,0.384,296,138,382,305,7.305
000016,3,pedestrian,0.347,561,142,585,201,23.603
000016,4,cyclist,0.280,333,176,474,288,9.512
000017,0,pedestrian,0.802,607,151,757,370,5.586
000017,1,pedestrian,0.379,523,140,546,206,23.110
000017,2,pedestrian,0.370,312,152,392,312,7.296
000017,3,cyclist,0.324,387,188,482,277,10.552
000017,4,pedestrian,0.321,233,128,295,338,6.473
000017,5,pedestrian,0.312,1131,120,1224,370,4.085
000018,0,pedestrian,0.669,1122,152,1223,371,4.121
000018,1,pedestrian,0.586,529,141,552,206,23.287
000018,2,pedestrian,0.439,322,140,404,326,7.296
000018,3,pedestrian,0.436,633,146,766,372,5.505
000018,4,cyclist,0.426,386,189,482,278,10.534
000019,0,pedestrian,0.819,1105,157,1216,362,4.221
000019,1,pedestrian,0.475,706,148,776,350,5.510
000019,2,pedestrian,0.453,657,139,728,357,4.998
000019,3,pedestrian,0.397,272,124,338,318,6.606
000019,4,pedestrian,0.270,528,136,553,198,23.287
000020,0,pedestrian,0.526,521,136,548,198,22.182
000020,1,pedestrian,0.453,270,139,351,328,6.571
000020,2,pedestrian,0.443,1074,141,1161,377,4.338
000020,3,pedestrian,0.261,439,139,469,187,37.518
000021,0,pedestrian,0.973,1019,154,1159,365,4.512
000021,1,pedestrian,0.702,687,149,806,371,4.966
000021,2,pedestrian,0.436,293,153,346,231,6.528
000021,3,pedestrian,0.423,439,141,466,188,25.974
000021,4,pedestrian,0.368,531,140,554,204,22.345
000021,5,pedestrian,0.260,482,140,510,189,34.533
000022,0,pedestrian,0.978,976,161,1126,362,4.701
000022,1,pedestrian,0.885,701,149,819,372,4.870
000022,2,pedestrian,0.416,429,139,462,185,25.537
000022,3,pedestrian,0.332,523,132,563,200,22.345
000023,0,pedestrian,0.925,961,153,1079,368,4.866
000023,1,pedestrian,0.740,708,146,824,372,4.745
000023,2,pedestrian,0.539,527,130,562,201,22.182
000023,3,pedestrian,0.372,391,149,477,320,7.150
000023,4,pedestrian,0.326,302,147,388,317,6.425
000023,5,pedestrian,0.267,496,140,524,185,34.533
000024,0,pedestrian,0.746,942,154,1026,367,4.986
000024,1,pedestrian,0.517,522,129,554,203,21.942
000024,2,pedestrian,0.505,319,145,406,322,6.404
000024,3,pedestrian,0.462,723,141,840,374,4.682
000024,4,pedestrian,0.387,427,139,456,182,6.954
000024,5,pedestrian,0.281,789,125,856,376,5.146
000024,6,cyclist,0.277,251,189,343,308,8.072
000025,0,pedestrian,0.850,923,149,1002,374,5.129
000025,1,pedestrian,0.550,411,158,487,315,6.938
000025,2,pedestrian,0.530,521,139,542,212,18.759
000025,3,pedestrian,0.371,752,130,825,370,4.526
000025,4,pedestrian,0.327,799,151,877,370,5.061
000025,5,pedestrian,0.324,430,144,465,185,6.899
000026,0,pedestrian,0.722,851,149,989,373,5.195
000026,1,pedestrian,0.663,760,143,887,375,4.526
000026,2,pedestrian,0.407,523,140,550,211,18.474
000026,3,cyclist,0.400,258,206,352,293,8.899
000026,4,pedestrian,0.384,358,138,428,329,6.298
000026,5,pedestrian,0.347,416,180,496,316,6.907
000026,6,pedestrian,0.277,437,141,469,185,38.226
000027,0,pedestrian,0.784,447,144,511,325,6.891
000027,1,pedestrian,0.720,792,155,989,367,5.061
000027,2,pedestrian,0.627,364,131,440,337,6.240
000027,3,pedestrian,0.371,525,139,555,210,18.252
000027,4,cyclist,0.370,261,206,357,293,8.978
000027,5,pedestrian,0.264,405,132,488,332,6.753
000028,0,pedestrian,0.814,786,143,948,373,4.622
000028,1,pedestrian,0.683,447,169,536,329,6.806
000028,2,pedestrian,0.371,375,132,496,345,6.331
000028,3,pedestrian,0.360,529,138,549,215,18.089
000028,4,cyclist,0.273,263,208,363,292,9.031
000029,0,pedestrian,0.713,467,158,541,339,6.761
000029,1,pedestrian,0.562,821,146,958,372,4.317
000029,2,pedestrian,0.383,526,138,556,212,18.089
000029,3,cyclist,0.290,263,203,432,292,8.236
000030,0,pedestrian,0.403,499,172,556,326,6.642
000030,1,pedestrian,0.359,802,145,952,372,4.129
000030,2,cyclist,0.346,261,174,349,295,9.031
000030,3,pedestrian,0.271,374,130,484,350,6.048
000031,0,pedestrian,0.879,760,162,860,363,5.941
000031,1,pedestrian,0.766,851,143,985,375,4.007
000031,2,pedestrian,0.712,392,145,484,354,5.941
000031,3,pedestrian,0.637,511,170,569,328,6.542
000031,4,pedestrian,0.346,370,143,409,182,23.742
000031,5,cyclist,0.292,263,175,345,296,9.031
000032,0,pedestrian,0.884,744,165,835,356,6.072
000032,1,pedestrian,0.774,521,158,584,340,6.459
000032,2,pedestrian,0.751,867,146,999,374,3.957
000032,3,pedestrian,0.695,405,157,482,342,5.844
000032,4,cyclist,0.317,268,194,424,300,8.695
000033,0,pedestrian,0.886,732,164,806,355,6.208
000033,1,pedestrian,0.734,910,142,1045,363,3.901
000033,2,pedestrian,0.597,535,158,587,338,6.351
000033,3,pedestrian,0.529,419,160,496,340,5.772
000033,4,cyclist,0.431,262,199,430,297,8.708
000034,0,pedestrian,0.924,542,148,613,353,6.311
000034,1,pedestrian,0.896,920,145,1073,372,3.799
000034,2,pedestrian,0.679,719,171,797,352,6.325
000034,3,cyclist,0.566,249,184,430,297,8.834
000035,0,pedestrian,0.917,937,146,1080,372,3.690
000035,1,pedestrian,0.871,561,150,630,351,6.202
000035,2,cyclist,0.721,252,186,464,295,8.899
000035,3,pedestrian,0.498,643,167,796,355,6.614
000035,4,pedestrian,0.492,474,130,573,355,5.805
000035,5,pedestrian,0.297,338,142,382,180,23.649
000036,0,pedestrian,0.668,956,150,1099,370,3.650
000036,1,cyclist,0.628,260,196,467,297,8.912
000036,2,pedestrian,0.452,633,168,784,353,6.549
000036,3,pedestrian,0.325,571,172,641,352,6.127
000036,4,pedestrian,0.281,463,169,546,353,5.643
000036,5,pedestrian,0.256,516,142,551,216,5.664
000037,0,pedestrian,0.849,989,141,1141,361,3.596
000037,1,pedestrian,0.658,655,157,714,345,6.493
000037,2,pedestrian,0.630,475,125,582,368,5.643
000037,3,cyclist,0.602,259,198,473,296,9.018
000037,4,pedestrian,0.545,591,148,660,354,6.060
000037,5,cyclist,0.293,398,197,486,273,10.552
000038,0,pedestrian,0.881,1008,139,1192,362,3.542
000038,1,pedestrian,0.767,604,148,695,352,6.115
000038,2,cyclist,0.630,259,196,470,297,9.004
000038,3,pedestrian,0.506,509,138,581,361,5.500
000038,4,cyclist,0.254,264,174,347,297,9.031
000039,0,pedestrian,0.964,1048,154,1199,366,3.375
000039,1,cyclist,0.660,261,195,469,298,9.004
000039,2,pedestrian,0.600,605,166,685,358,5.918
000039,3,pedestrian,0.262,474,140,502,187,32.329
000039,4,cyclist,0.257,263,174,347,297,9.044
000040,0,pedestrian,0.891,1080,156,1224,364,3.242
000040,1,cyclist,0.722,284,192,488,286,9.497
000040,2,pedestrian,0.660,632,155,703,366,5.756
000040,3,pedestrian,0.287,540,143,625,353,5.379
000040,4,pedestrian,0.268,477,138,505,185,32.502
000041,0,pedestrian,0.921,1099,161,1223,363,3.164
000041,1,pedestrian,0.816,637,155,715,367,5.659
000041,2,cyclist,0.725,283,191,488,288,9.467
000041,3,pedestrian,0.490,547,143,634,354,5.271
000041,4,pedestrian,0.346,521,139,551,210,19.993
000042,0,pedestrian,0.751,660,146,729,373,5.515
000042,1,cyclist,0.737,284,191,489,288,9.482
000042,2,pedestrian,0.511,1131,135,1223,366,3.033
000042,3,pedestrian,0.359,538,143,674,374,5.222
000043,0,cyclist,0.746,283,193,485,287,9.482
000043,1,pedestrian,0.469,675,150,746,371,5.403
000043,2,pedestrian,0.322,527,136,560,216,19.173
000044,0,cyclist,0.680,290,197,476,283,9.394
000044,1,pedestrian,0.669,665,142,792,377,5.346
000044,2,pedestrian,0.487,468,134,606,338,6.837
000044,3,pedestrian,0.296,572,146,599,208,6.907
000044,4,cyclist,0.269,261,222,341,301,8.430
000045,0,pedestrian,0.636,561,145,589,216,15.119
000045,1,cyclist,0.620,287,196,482,281,9.482
000045,2,pedestrian,0.528,664,142,801,378,5.142
000045,3,pedestrian,0.375,504,172,558,327,6.768
000045,4,pedestrian,0.265,523,138,555,215,18.993
000046,0,pedestrian,0.682,724,154,809,368,5.056
000046,1,cyclist,0.677,252,188,472,293,9.085
000046,2,pedestrian,0.569,561,145,594,218,15.119
000046,3,pedestrian,0.467,664,128,781,367,5.002
