frame,object_id,label,score,x1,y1,x2,y2,X,Y,Z
0,0,pedestrian,0.850,489,209,532,330,-1.337,1.271,10.101
0,1,cyclist,0.769,362,291,443,396,-2.324,1.879,8.151
0,2,pedestrian,0.710,375,207,442,375,-2.246,1.269,8.118
0,3,pedestrian,0.483,335,201,364,291,-7.298,1.877,20.269
0,4,pedestrian,0.479,225,207,262,275,-28.450,4.773,55.786
0,5,car,0.460,685,229,751,274,1.999,1.246,12.409
0,6,car,0.417,1264,259,1343,297,6.325,0.882,6.394
0,7,pedestrian,0.401,291,210,326,284,-12.047,2.710,28.818
0,8,car,0.255,1151,253,1260,300,5.556,0.887,6.531
1,0,pedestrian,0.900,496,201,541,339,-1.217,1.272,10.051
1,1,cyclist,0.746,339,287,427,401,-2.528,1.870,8.086
1,2,pedestrian,0.670,223,206,255,276,-26.835,4.447,51.971
1,3,pedestrian,0.493,291,211,324,286,-11.090,2.542,26.437
1,4,car,0.411,1265,259,1345,297,6.279,0.873,6.334
1,5,car,0.358,686,229,751,274,2.027,1.258,12.524
1,6,pedestrian,0.313,327,203,354,291,-6.807,1.717,18.260
1,7,pedestrian,0.308,362,210,429,367,-2.351,1.217,7.969
2,0,pedestrian,0.824,313,212,410,392,-2.731,1.368,7.959
2,1,pedestrian,0.693,503,204,547,340,-1.090,1.261,9.745
2,2,cyclist,0.692,301,312,409,411,-2.830,2.056,8.033
2,3,car,0.385,1265,259,1344,298,6.354,0.889,6.414
2,4,pedestrian,0.340,291,211,321,286,-9.803,2.236,23.253
2,5,car,0.332,686,229,750,274,2.028,1.264,12.589
2,6,pedestrian,0.310,223,209,254,277,-25.770,4.405,49.841
3,0,pedestrian,0.836,293,214,383,388,-2.995,1.356,7.959
3,1,pedestrian,0.724,506,201,545,338,-1.061,1.201,9.546
3,2,cyclist,0.714,292,304,392,424,-2.950,2.066,7.959
3,3,car,0.399,1262,259,1342,297,6.372,0.890,6.455
3,4,pedestrian,0.358,223,208,256,275,-28.247,4.726,54.780
3,5,pedestrian,0.256,293,212,324,278,-3.595,0.785,8.601
3,6,car,0.253,687,229,750,274,2.033,1.261,12.563
4,0,pedestrian,0.758,518,205,567,336,-0.817,1.194,9.384
4,1,pedestrian,0.536,259,213,353,396,-3.342,1.390,7.928
4,2,car,0.409,1262,259,1342,297,6.365,0.889,6.448
4,3,cyclist,0.294,254,313,361,445,-3.330,2.229,7.938
